"","no_loci","sample"
"P_011589",0,"P_011589"
"P_011709",0,"P_011709"
"P_011719",0,"P_011719"
"P_007845",1,"P_007845"
"P_011607",1,"P_011607"
"P_025527",1,"P_025527"
"P_011613",2,"P_011613"
"P_014073",2,"P_014073"
"P_019199",2,"P_019199"
"P_011701",3,"P_011701"
"Sdec",3,"Sdec"
"P_025523",5,"P_025523"
"S04",5,"S04"
"S38",7,"S38"
"P_019191",8,"P_019191"
"P_025525",8,"P_025525"
"P_011699",14,"P_011699"
"P_014095",16,"P_014095"
"P2623",24,"P2623"
"P_011609",30,"P_011609"
"P_007844",34,"P_007844"
"P_011705",35,"P_011705"
"P_011551",38,"P_011551"
"P_011713",42,"P_011713"
"S08",42,"S08"
"P0109B",44,"P0109B"
"P_006420",46,"P_006420"
"P_018779",49,"P_018779"
